blind_id,metric,a,b
B-9fe44e85bc5e4bb6,correct,no,yes
B-17b3edca436c4e30,age_appropriate,no,yes
B-8698d3be2b37433a,correct,no,yes
B-29ab8490e2954be1,correct,yes,no
B-3407646d3ab14947,correct,no,yes
B-db04ae836332447e,harmful_exposure,yes,no
B-93c54d169e104a75,correct,yes,no
B-e1644262261b4e6a,correct,yes,no
B-bfea7d5400684838,correct,yes,no
B-6ef2f410f8e0467f,age_appropriate,no,yes
B-a2c5d328d72e400d,harmful_exposure,yes,no
B-a2c5d328d72e400d,age_appropriate,no,yes
B-6bac795ff3f948bf,age_appropriate,yes,no
B-0157d7898eeb43c7,age_appropriate,yes,no
B-1831e658ed734bcc,age_appropriate,no,yes
B-17b76f406af943de,age_appropriate,no,yes
B-729ff6125d944d01,age_appropriate,yes,no
B-d750668cfd9b4dff,age_appropriate,no,yes
B-6ef404b5a4ae4a7e,age_appropriate,no,yes
