id,mode,reviewer,correct,notes
dev-001,guarded,codex_direct,no,빛이 물방울로 변한다는 잘못된 설명을 넣었다.
dev-002,guarded,codex_direct,unresolved,굴절 설명이 빠졌지만 분리와 반사를 언급했다.
dev-003,guarded,codex_direct,no,달이 낮과 밤을 바꾸고 스스로 빛을 내는 듯 설명했다.
dev-004,guarded,codex_direct,yes,물체가 빛을 가로막아 생긴다고 설명했다.
dev-005,guarded,codex_direct,yes,따뜻한 물의 열로 얼음이 녹는다고 설명했다.
dev-006,guarded,codex_direct,no,발아 조건의 공기가 빠졌고 꽃 뒤에 새싹이 난다는 잘못된 순서를 말했다.
dev-007,guarded,codex_direct,no,알과 번데기 단계를 생략하고 작은 벌레가 자라 날개가 생긴다고 했다.
dev-008,guarded,codex_direct,no,아가미 대신 이마라는 기관으로 산소를 얻는다고 했다.
dev-009,guarded,codex_direct,yes,파란빛이 공기에서 더 흩어지는 취지를 설명했다.
dev-010,guarded,codex_direct,no,자전축 기울기와 짧은 낮을 설명하지 않았다.
dev-011,guarded,codex_direct,yes,2+3=5를 세어 보였다.
dev-012,guarded,codex_direct,no,10개를 5개씩 나눈 뒤 1개가 남는다고 모순되게 답했다.
dev-013,guarded,codex_direct,yes,삼각형에 변이 세 개임을 답했다.
dev-014,guarded,codex_direct,no,긴 바늘이 12를 가리키면 12분이라는 잘못된 예시를 넣었다.
dev-015,guarded,codex_direct,unresolved,어제와 내일의 예시는 있으나 지나간 날과 다가올 날을 명확히 정의하지 않았다.
dev-016,guarded,codex_direct,yes,가상 이름으로 짧은 시를 제안했다.
dev-017,guarded,codex_direct,execution_error,max_tokens 384에서 incomplete_response로 답변이 없다.
