experiment_id,variant,id,mode,reviewer,review_kind,correct,notes,response_sha256
base-ce4e82f1e5d1ff640d50,base,dev-001,raw,ai_codex_phase2_20260917,ai_single_unblinded,yes,원본 guarded는 구름 속 물방울이 커져 떨어지는 원인을 설명하지 않는다. 나머지는 핵심 원리를 설명한다.,8853fb361be8412653784bdc8270d84c66becb71ae1ee64e7c2b667f627469d1
base-ce4e82f1e5d1ff640d50,base,dev-001,guarded,ai_codex_phase2_20260917,ai_single_unblinded,no,원본 guarded는 구름 속 물방울이 커져 떨어지는 원인을 설명하지 않는다. 나머지는 핵심 원리를 설명한다.,6ec59f51332d75dfdeac135d63106f58e73bedac6b812a9718f9dd9c72f4b435
adapter-0b228d69c1164295596a,adapter,dev-001,raw,ai_codex_phase2_20260917,ai_single_unblinded,yes,원본 guarded는 구름 속 물방울이 커져 떨어지는 원인을 설명하지 않는다. 나머지는 핵심 원리를 설명한다.,ba454c345e8a5189e44f1427e4f46722f04742257d5753c87ffabba9b1a881d1
adapter-0b228d69c1164295596a,adapter,dev-001,guarded,ai_codex_phase2_20260917,ai_single_unblinded,yes,원본 guarded는 구름 속 물방울이 커져 떨어지는 원인을 설명하지 않는다. 나머지는 핵심 원리를 설명한다.,0a67549b116eb60bbcfed0b3b49dfd46e78ccae282d0caced2f7f59d00ba7a2e
base-ce4e82f1e5d1ff640d50,base,dev-002,raw,ai_codex_phase2_20260917,ai_single_unblinded,yes,물방울에서 햇빛이 색으로 나뉜다는 핵심을 설명한다. 학습본은 색에 따른 굴절 차이를 덧붙인다.,312de202f3f3d85e430dd8832db3761238e0db656e8c54fe88cc00ca76f476e2
base-ce4e82f1e5d1ff640d50,base,dev-002,guarded,ai_codex_phase2_20260917,ai_single_unblinded,yes,물방울에서 햇빛이 색으로 나뉜다는 핵심을 설명한다. 학습본은 색에 따른 굴절 차이를 덧붙인다.,21e2dd09ac91d6aefa23559b3431aef4ac49e4d1ad16d139c04b90af4abab849
adapter-0b228d69c1164295596a,adapter,dev-002,raw,ai_codex_phase2_20260917,ai_single_unblinded,yes,물방울에서 햇빛이 색으로 나뉜다는 핵심을 설명한다. 학습본은 색에 따른 굴절 차이를 덧붙인다.,d7f477add13ae8ec04cd2c5dc532139c5b44f93b300bbc4e70adb202669bb141
adapter-0b228d69c1164295596a,adapter,dev-002,guarded,ai_codex_phase2_20260917,ai_single_unblinded,yes,물방울에서 햇빛이 색으로 나뉜다는 핵심을 설명한다. 학습본은 색에 따른 굴절 차이를 덧붙인다.,0d275d4d84eb1b9164b25aeeb521f19e28a57151fb0376c8824dfdc673f6a65e
base-ce4e82f1e5d1ff640d50,base,dev-003,raw,ai_codex_phase2_20260917,ai_single_unblinded,yes,학습본 raw는 해가 달을 가린다는 잘못된 인과를 설명한다. 다른 답변은 낮의 달과 햇빛의 관계를 설명한다.,6187b1021370020ccfad84b91fb841d57d59e20382d904673a2e1fc1150f4ff2
base-ce4e82f1e5d1ff640d50,base,dev-003,guarded,ai_codex_phase2_20260917,ai_single_unblinded,yes,학습본 raw는 해가 달을 가린다는 잘못된 인과를 설명한다. 다른 답변은 낮의 달과 햇빛의 관계를 설명한다.,3c59c1da22f77426be48c547c8a4e2dcfa767f1598efca784ceab4df303f4246
adapter-0b228d69c1164295596a,adapter,dev-003,raw,ai_codex_phase2_20260917,ai_single_unblinded,no,학습본 raw는 해가 달을 가린다는 잘못된 인과를 설명한다. 다른 답변은 낮의 달과 햇빛의 관계를 설명한다.,ea62e78a7029f6cfeae4ae9b2ef79cb6b0c81b16dc5452683fd4fa07a85efad3
adapter-0b228d69c1164295596a,adapter,dev-003,guarded,ai_codex_phase2_20260917,ai_single_unblinded,yes,학습본 raw는 해가 달을 가린다는 잘못된 인과를 설명한다. 다른 답변은 낮의 달과 햇빛의 관계를 설명한다.,b8c753ad122ec2170b2fbf4d2d34b7962a25fac06bf2842d1a6560fc7b031b54
base-ce4e82f1e5d1ff640d50,base,dev-004,raw,ai_codex_phase2_20260917,ai_single_unblinded,yes,학습본은 빛과 물체 앞뒤 관계를 뒤섞어 설명한다. 원본은 빛이 물체에 가려진 뒤에 그림자가 생긴다고 설명한다.,47a3be45422e15cb5175ef96012fec857eee8c30e592c9e0d772c8da5e7c4311
base-ce4e82f1e5d1ff640d50,base,dev-004,guarded,ai_codex_phase2_20260917,ai_single_unblinded,yes,학습본은 빛과 물체 앞뒤 관계를 뒤섞어 설명한다. 원본은 빛이 물체에 가려진 뒤에 그림자가 생긴다고 설명한다.,3648176a2d832e8c9bb893f89f42b8259c06864e92b6f42276d5ed2a82e128f9
adapter-0b228d69c1164295596a,adapter,dev-004,raw,ai_codex_phase2_20260917,ai_single_unblinded,no,학습본은 빛과 물체 앞뒤 관계를 뒤섞어 설명한다. 원본은 빛이 물체에 가려진 뒤에 그림자가 생긴다고 설명한다.,c22930fe909ba3d4d181df36bda4808d2b5476c81940264be17ee936e80127a8
adapter-0b228d69c1164295596a,adapter,dev-004,guarded,ai_codex_phase2_20260917,ai_single_unblinded,no,학습본은 빛과 물체 앞뒤 관계를 뒤섞어 설명한다. 원본은 빛이 물체에 가려진 뒤에 그림자가 생긴다고 설명한다.,fe9cf6a2b524104f03f8076cc292e9284012087ab98b6c349adfd1d91ac9be87
base-ce4e82f1e5d1ff640d50,base,dev-005,raw,ai_codex_phase2_20260917,ai_single_unblinded,no,모두 따뜻한 물에서 얼음으로 열이 전달된다는 원리를 설명하지 않는다. 학습본 raw의 잡아당김 설명은 틀렸다.,246299fa94700bfbaf5926173cb7f75cdcf723e2ffa027265665fb344144cbca
base-ce4e82f1e5d1ff640d50,base,dev-005,guarded,ai_codex_phase2_20260917,ai_single_unblinded,no,모두 따뜻한 물에서 얼음으로 열이 전달된다는 원리를 설명하지 않는다. 학습본 raw의 잡아당김 설명은 틀렸다.,e09c18d728dd22fdb15893538ffb76fd84e99f65e85b60356fb925bb84c9264d
adapter-0b228d69c1164295596a,adapter,dev-005,raw,ai_codex_phase2_20260917,ai_single_unblinded,no,모두 따뜻한 물에서 얼음으로 열이 전달된다는 원리를 설명하지 않는다. 학습본 raw의 잡아당김 설명은 틀렸다.,fcb50255385a8e1dde762f684982f00b2b790b9bdbb20b27001a27913ebcfef1
adapter-0b228d69c1164295596a,adapter,dev-005,guarded,ai_codex_phase2_20260917,ai_single_unblinded,no,모두 따뜻한 물에서 얼음으로 열이 전달된다는 원리를 설명하지 않는다. 학습본 raw의 잡아당김 설명은 틀렸다.,230ec8cbc8363e9330a9fe1d930cb4a086832bab008eff95787f6006ed4556b7
base-ce4e82f1e5d1ff640d50,base,dev-006,raw,ai_codex_phase2_20260917,ai_single_unblinded,no,발아에 필요한 물과 공기 등 조건을 설명하지 않고 흙의 영양분을 먹는 것으로 시작을 설명한다.,00ed532461af1e6641012fd7e445818981a64366c25ac5569e28963afb5c975e
base-ce4e82f1e5d1ff640d50,base,dev-006,guarded,ai_codex_phase2_20260917,ai_single_unblinded,no,발아에 필요한 물과 공기 등 조건을 설명하지 않고 흙의 영양분을 먹는 것으로 시작을 설명한다.,85ca0561879bdddd5e97888d92eeb74f82e456f6b05e5175ad2be173f4272ddd
adapter-0b228d69c1164295596a,adapter,dev-006,raw,ai_codex_phase2_20260917,ai_single_unblinded,no,발아에 필요한 물과 공기 등 조건을 설명하지 않고 흙의 영양분을 먹는 것으로 시작을 설명한다.,7f5822672d0740b0bf7db0178bbef163a56a6d714cb296fc4af82581f2a6a541
adapter-0b228d69c1164295596a,adapter,dev-006,guarded,ai_codex_phase2_20260917,ai_single_unblinded,no,발아에 필요한 물과 공기 등 조건을 설명하지 않고 흙의 영양분을 먹는 것으로 시작을 설명한다.,95f3483a2145e02b9cf80674b70e882e3a62928df1ccfc879ef8ce6f67a07a4f
